,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
610074,2.228880048040542,2.102649953106276,0.5138071917354298,1.0,0.0,0.0,1.0,0.0
170182,9.775559092312257,3.041871997989644,1.5491487597515636,1.0,0.0,0.0,1.0,0.0
840389,15.20442002789374,2.438380294510855,1.0355019428534442,1.0,0.0,0.0,1.0,0.0
671254,15.105801657528854,2.1068735491072297,0.1672349417115807,1.0,0.0,0.0,1.0,0.0
505179,328.3785111012936,0.0993546678646307,1.0110184833926528,1.0,0.0,0.0,0.0,0.0
253987,7.3059292451148,0.0409779564349719,1.3211584163139238,1.0,0.0,1.0,1.0,0.0
658659,33.55880053316454,3.4659768576884824,0.5889110561546701,1.0,1.0,0.0,0.0,0.0
203832,94.9127031679363,0.8744029120830462,2.470343804320322,1.0,1.0,1.0,1.0,0.0
205143,2.9975685134252297,2.6872257570707165,0.5408801351013554,1.0,0.0,0.0,0.0,0.0
808710,6.319983711416083,0.3982752888340256,3.158077736635609,1.0,0.0,0.0,0.0,0.0
513606,9.83576296675914,1.5728966193514875,0.9149938969887844,1.0,1.0,0.0,0.0,0.0
720282,21.1176885009731,9.51084791384643,0.6296126191772466,1.0,0.0,0.0,0.0,0.0
946231,4.671283330146228,16.22705638211293,0.6525689082468208,1.0,0.0,0.0,0.0,0.0
59701,5.336427790095235,0.0458657139448911,1.123847237198601,1.0,0.0,0.0,1.0,0.0
479567,16.75703756648671,0.0124494179936786,0.6496428318978018,1.0,1.0,0.0,1.0,0.0
109251,5.018356116347084,1.98916541830738,1.121932296320611,1.0,0.0,0.0,1.0,0.0
724281,10.007570253062315,1.8035021958345197,0.7703421468956848,1.0,0.0,0.0,1.0,0.0
167363,30.2928005933944,0.1507143068300377,2.427798185332935,1.0,0.0,0.0,1.0,0.0
626664,13.024644698476402,0.2097387266852617,2.980739473654704,1.0,0.0,0.0,0.0,0.0
922709,0.790966754084164,3.443620109843166,0.2307839933846416,0.0,0.0,0.0,1.0,0.0
787151,8.419274386265112,1.3357341726675498,1.1799307802614918,1.0,0.0,0.0,0.0,0.0
55191,0.8651909306492009,16.9664292397014,1.3062989301268364,0.0,0.0,0.0,0.0,0.0
241883,1.3433415584117057,0.7299183437195645,0.6493193187690938,0.0,0.0,0.0,1.0,0.0
305348,93.5296598349555,0.2718502733353725,2.790883857732923,1.0,0.0,0.0,1.0,0.0
429529,8.697062780264204,0.2645972241741854,2.267605028921146,1.0,1.0,0.0,1.0,0.0
593175,5.411400861876843,2.036520979793531,1.355898731496935,1.0,0.0,0.0,0.0,0.0
722538,45.69879714600301,8.258327319084705,3.912440550912711,1.0,0.0,0.0,1.0,0.0
588835,8.271861244425502,0.4479149804879119,0.9333257101015436,1.0,0.0,0.0,1.0,0.0
397786,1.02028488501709,5.23542190645577,0.5626716656695825,0.0,0.0,1.0,1.0,0.0
414631,21.78247338119292,1.2997811708666018,0.4751023513608309,1.0,1.0,0.0,0.0,0.0
113925,7.627481723486836,0.3310863767069731,1.5690042999976956,1.0,1.0,0.0,1.0,0.0
812805,34.20581494401618,1.5441171439695671,2.1464386509528377,1.0,0.0,1.0,1.0,0.0
838705,13.490912604505445,1.872453421014751,1.7511742461254975,1.0,0.0,1.0,1.0,0.0
742882,95.1528539467882,1.0679699274244925,0.1108395031932552,1.0,1.0,0.0,0.0,0.0
853413,1.743188489083089,0.4692818200513596,0.383652356772883,0.0,0.0,1.0,1.0,0.0
686484,4.370236915301944,0.4918474553517845,1.226458254497737,1.0,1.0,0.0,0.0,0.0
861163,2.233193022225393,0.7770109115028073,0.224293091041967,1.0,0.0,0.0,0.0,0.0
97381,13.70664262426168,0.2675016462399092,0.4108857248060881,1.0,0.0,0.0,1.0,0.0
213961,0.7772965669066179,1.7279800861737955,1.8817935567398103,0.0,0.0,0.0,1.0,0.0
216287,133.42978356794413,3.5297139788232967,0.3568117984513034,1.0,1.0,0.0,1.0,0.0
334512,207.84594676312045,0.8635851781711577,1.4367398266390314,1.0,0.0,0.0,0.0,0.0
266690,0.83542509260499,2.0111981642169807,2.08151613266212,0.0,1.0,0.0,1.0,0.0
515241,3.054456503952504,5.300113952231,0.606701866322637,1.0,1.0,0.0,1.0,0.0
748058,2.3237439481226767,0.2756953763801009,1.5080753154321405,1.0,1.0,0.0,0.0,0.0
498561,27.876916090580544,16.153646978458614,0.5994210218739451,1.0,0.0,0.0,1.0,0.0
744832,368.45327247210486,0.8506106173193079,0.3272379040848065,1.0,1.0,0.0,1.0,0.0
